Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8
Tracks 1 to 8
154	 	 	 	 	 	 	190.63431	8.893163	 	167.6978	643.46094	 	 	 	 	 	 	 	 	 	 	 	 	 
155	 	 	 	 	 	 	190.47565	8.859318	 	167.72758	630.8862	 	 	 	 	 	 	 	 	 	 	 	 	 
156	 	 	 	 	 	 	190.49396	8.82769	 	167.88446	619.3466	 	 	 	 	 	 	 	 	 	 	 	 	 
157	 	 	 	 	 	 	190.34122	8.850303	 	167.93713	609.34717	 	 	 	 	 	 	 	 	 	 	 	 	 
158	 	 	 	 	 	 	190.27751	8.811243	 	167.94788	599.67377	 	 	 	 	 	 	 	 	 	 	 	 	 
159	 	 	 	 	 	 	189.85782	8.835308	 	167.98062	590.27905	 	 	 	 	 	 	 	 	 	 	 	 	 
160	 	 	 	 	 	 	166.66194	12.062604	 	168.13219	581.182	 	 	 	 	 	 	 	 	 	 	 	 	 
161	 	 	 	 	 	 	166.8339	12.092282	 	168.46	572.1857	 	 	 	 	 	 	 	 	 	 	 	 	 
162	 	 	 	 	 	 	166.56198	12.12814	 	168.47566	563.85016	 	 	 	 	 	 	 	 	 	 	 	 	 
163	 	 	 	 	 	 	166.22397	12.23719	 	168.49258	555.7746	 	 	 	 	 	 	 	 	 	 	 	 	 
164	 	 	 	 	 	 	189.2901	9.045991	 	168.55185	547.887	 	 	 	 	 	 	 	 	 	 	 	 	 
165	 	 	 	 	 	 	166.04636	12.314569	 	168.7214	540.31366	 	 	 	 	 	 	 	 	 	 	 	 	 
166	 	 	 	 	 	 	166.02571	12.383914	 	168.83879	532.9572	 	 	 	 	 	 	 	 	 	 	 	 	 
167	 	 	 	 	 	 	189.1256	9.138625	 	168.91907	526.0665	 	 	 	 	 	 	 	 	 	 	 	 	 
168	 	 	 	 	 	 	189.35411	9.089412	 	168.90958	519.5053	 	 	 	 	 	 	 	 	 	 	 	 	 
169	 	 	 	 	 	 	165.79851	12.425373	 	169.02043	513.11456	 	 	 	 	 	 	 	 	 	 	 	 	 
170	 	 	 	 	 	 	165.9097	12.40301	 	169.12544	507.02298	 	 	 	 	 	 	 	 	 	 	 	 	 
171	 	 	 	 	 	 	165.93239	12.374791	 	169.13002	501.31674	 	 	 	 	 	 	 	 	 	 	 	 	 
172	 	 	 	 	 	 	189.22156	9.084124	 	169.29861	495.9514	 	 	 	 	 	 	 	 	 	 	 	 	 
173	 	 	 	 	 	 	189.38048	9.040829	 	169.3487	490.92783	 	 	 	 	 	 	 	 	 	 	 	 	 
174	 	 	 	 	 	 	166.14558	12.21381	 	169.52768	486.00345	 	 	 	 	 	 	 	 	 	 	 	 	 
175	 	 	 	 	 	 	166.41167	12.155	 	169.53395	481.4966	 	 	 	 	 	 	 	 	 	 	 	 	 
176	 	 	 	 	 	 	166.33194	12.0856905	 	169.54898	477.42737	 	 	 	 	 	 	 	 	 	 	 	 	 
177	 	 	 	 	 	 	166.52667	11.916667	 	169.69322	473.5678	 	 	 	 	 	 	 	 	 	 	 	 	 
178	 	 	 	 	 	 	166.69966	11.865772	 	169.83786	470.00934	 	 	 	 	 	 	 	 	 	 	 	 	 
179	 	 	 	 	 	 	189.79877	8.918518	 	169.97731	466.65128	 	 	 	 	 	 	 	 	 	 	 	 	 
180	 	 	 	 	 	 	190.00925	8.820592	 	169.95638	463.89093	 	 	 	 	 	 	 	 	 	 	 	 	 
181	 	 	 	 	 	 	190.37105	8.639903	 	169.97841	461.2525	 	 	 	 	 	 	 	 	 	 	 	 	 
182	 	 	 	 	 	 	190.56413	8.431116	 	170.033	459.04456	 	 	 	 	 	 	 	 	 	 	 	 	 
183	 	 	 	 	 	 	190.99156	8.322891	 	170.05025	457.06012	 	 	 	 	 	 	 	 	 	 	 	 	 
184	 	 	 	 	 	 	190.81146	8.260143	 	170.2234	455.35925	 	 	 	 	 	 	 	 	 	 	 	 	 
185	 	 	 	 	 	 	191.208	8.138856	 	170.11818	454.18265	 	 	 	 	 	 	 	 	 	 	 	 	 
186	 	 	 	 	 	 	191.44252	8.0101795	 	170.22578	453.05994	 	 	 	 	 	 	 	 	 	 	 	 	 
187	 	 	 	 	 	 	191.51917	7.9898205	 	170.32178	452.34982	 	 	 	 	 	 	 	 	 	 	 	 	 
188	 	 	 	 	 	 	191.71744	7.997543	 	170.41298	451.7939	 	 	 	 	 	 	 	 	 	 	 	 	 
189	 	 	 	 	 	 	191.55722	7.9054728	 	170.472	451.6977	 	 	 	 	301.64563	670.24756	 	 	 	 	 	 	 
190	 	 	 	 	 	 	191.83992	7.8349814	 	170.54099	451.97705	 	 	 	 	301.37625	670.65344	 	 	 	 	 	 	 
191	 	 	 	 	 	 	191.70421	7.8267326	 	170.64778	452.46222	 	 	 	 	301.38834	670.5631	 	 	 	 	 	 	 
192	 	 	 	 	 	 	191.77596	7.791139	 	170.7876	453.35123	 	 	 	 	301.29105	670.59454	 	 	 	 	 	 	 
193	 	 	 	 	 	 	191.54585	7.8031845	 	170.82951	454.4033	 	 	 	 	300.97867	670.6232	 	 	 	 	 	 	 
194	 	 	 	 	 	 	191.85182	7.6689787	 	170.89503	455.9496	 	 	 	 	301.699	670.3408	 	 	 	 	 	 	 
195	 	 	 	 	 	 	192.07	7.62375	 	170.89667	457.76666	 	 	 	 	301.89423	669.99036	 	 	 	 	 	 	 
196	 	 	 	 	 	 	192.08096	7.527194	 	170.89238	459.92715	 	 	 	 	301.87018	669.9567	 	 	 	 	 	 	 
197	 	 	 	 	 	 	191.94377	7.4217606	 	170.95529	462.3477	 	 	 	 	301.3785	670.0888	 	 	 	 	 	 	 
198	 	 	 	 	 	 	192.16264	7.3827085	 	170.95667	465.265	 	 	 	 	301.201	670.4461	 	 	 	 	 	 	 
199	 	 	 	 	 	 	192.5774	7.287183	 	170.95682	468.23254	 	 	 	 	301.5936	670.2685	 	 	 	 	 	 	 
200	 	 	 	 	 	 	192.83293	7.22904	 	171.00676	471.58615	 	 	 	 	301.70193	670.1394	 	 	 	 	 	 	 
201	 	 	 	 	 	 	192.50484	7.219128	 	170.99916	475.36633	 	 	 	 	301.1766	670.90796	 	 	 	 	 	 	 
202	 	 	 	 	 	 	192.76755	7.1271186	 	170.9949	479.30273	 	 	 	 	301.38727	670.63727	 	 	 	 	 	 	 
