Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6,X7,Y7,Flag7,X8,Y8,Flag8,X9,Y9,Flag9,X10,Y10,Flag10
278,172.70807,659.08746,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,173.104,659.0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,173.20253,659.0868,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,173.44525,659.12225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,173.85413,659.1257,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,174.14862,659.1688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,174.28001,659.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,174.50092,659.1658,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,174.77707,659.16516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,175.09816,659.25415,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,175.31308,659.1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,175.61552,659.2246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,175.8428,659.29926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,176.21455,659.2507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,176.45825,659.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,176.78163,659.25995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,177.0676,659.28705,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,177.32054,659.28906,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,177.51865,659.28754,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,177.82089,659.30505,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,178.08582,659.38995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,178.31989,659.3377,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,178.63478,659.4472,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,178.89374,659.4194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,179.21982,659.5302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,179.56049,659.4707,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,179.86629,659.4849,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,180.24553,659.5047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,180.39594,659.38837,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,180.82954,659.4981,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,181.12724,659.51044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,181.32387,659.4943,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,181.6968,659.5781,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,182.10019,659.5028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,182.34776,659.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,182.59914,659.5591,,,,,,,,,,,,,,,,,,,,,,,,,,,,
