Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6
Tracks 1 to 6
173	191.4986	5.634454	 	170.20152	575.11975	 	 	 	 	 	 	 	 	 	 	 	 	 
174	189.4852	5.436743	 	170.20912	582.95056	 	 	 	 	 	 	 	 	 	 	 	 	 
175	163.79115	5.760918	 	170.22308	591.025	 	 	 	 	 	 	 	 	 	 	 	 	 
176	164.83484	5.589064	 	170.14093	599.278	 	 	 	 	 	 	 	 	 	 	 	 	 
177	165.1791	5.537288	 	170.16795	607.94403	 	 	 	 	 	 	 	 	 	 	 	 	 
178	165.67441	5.4411097	 	170.11523	616.97656	 	 	 	 	 	 	 	 	 	 	 	 	 
179	165.4622	5.4003434	 	170.15257	626.72797	 	 	 	 	 	 	 	 	 	 	 	 	 
180	165.17119	5.480791	 	170.01463	636.86316	 	 	 	 	 	 	 	 	 	 	 	 	 
181	164.57841	5.5556817	 	170.13359	644.80023	 	 	 	 	 	 	 	 	 	 	 	 	 
182	164.38249	5.592655	 	169.8344	638.1894	 	 	 	 	 	 	 	 	 	 	 	 	 
183	164.22096	5.5136676	 	169.71991	633.86115	 	 	 	 	 	 	 	 	 	 	 	 	 
184	189.07318	5.1935706	 	169.5439	629.80084	 	 	 	 	 	 	 	 	 	 	 	 	 
185	189.0669	5.2351723	 	169.37007	626.0395	 	 	 	 	 	 	 	 	 	 	 	 	 
186	191.08606	5.4601707	 	169.15125	622.3678	 	 	 	 	 	 	 	 	 	 	 	 	 
187	190.89194	5.4683	 	169.00423	619.33923	 	 	 	 	 	 	 	 	 	 	 	 	 
188	190.21118	5.5667634	 	168.82333	616.54333	 	 	 	 	 	 	 	 	 	 	 	 	 
189	190.95245	5.6037464	 	168.71333	614.2267	 	 	 	 	 	 	 	 	 	 	 	 	 
190	184.5621	5.34088	 	168.37312	612.2746	 	 	 	 	 	 	 	 	 	 	 	 	 
191	163.97714	5.7552953	 	168.11745	610.5067	 	 	 	 	 	 	 	 	 	 	 	 	 
192	163.11343	5.959251	 	167.97775	609.0568	 	 	 	 	 	 	 	 	 	 	 	 	 
193	163.27142	5.948352	 	167.67247	607.91296	 	 	 	 	 	 	 	 	 	 	 	 	 
194	164.71748	5.7907104	 	167.54463	607.15125	 	 	 	 	 	 	 	 	 	 	 	 	 
195	166.01251	5.609902	 	167.31198	606.6414	 	 	 	 	 	 	 	 	 	 	 	 	 
196	164.54506	5.7516484	 	167.13426	606.3567	 	 	 	 	 	 	 	 	 	 	 	 	 
197	162.92508	5.981687	 	166.99258	606.38635	 	 	 	 	 	 	 	 	 	 	 	 	 
198	162.54265	5.95679	 	166.76677	606.788	 	 	 	 	 	 	 	 	 	 	 	 	 
199	162.87247	5.853273	 	166.58305	607.49005	 	 	 	 	 	 	 	 	 	 	 	 	 
200	162.52914	5.9428253	 	166.37582	608.4884	 	 	 	 	 	 	 	 	 	 	 	 	 
201	189.38219	5.7734923	 	166.201	609.71094	 	 	 	 	 	 	 	 	 	 	 	 	 
202	188.94258	5.7885156	 	165.99501	611.26746	 	 	 	 	 	 	 	 	 	 	 	 	 
203	189.0969	5.714993	 	165.7952	613.2579	 	 	 	 	 	 	 	 	 	 	 	 	 
204	189.49298	5.6867976	 	165.51335	615.56177	 	 	 	 	 	 	 	 	 	 	 	 	 
205	188.3207	5.562069	 	165.30968	618.2279	 	 	 	 	 	 	 	 	 	 	 	 	 
206	188.25035	5.544138	 	165.15825	621.1397	 	 	 	 	 	 	 	 	 	 	 	 	 
207	187.27132	5.374154	 	164.93208	624.52454	 	 	 	 	 	 	 	 	 	 	 	 	 
208	162.54213	5.802661	 	164.66339	628.3301	 	 	 	 	 	 	 	 	 	 	 	 	 
209	163.23	5.6633334	 	164.41318	632.2685	 	 	 	 	 	 	 	 	 	 	 	 	 
210	163.36124	5.653084	 	164.13033	636.6564	 	 	 	 	 	 	 	 	 	 	 	 	 
211	164.09709	5.4363837	 	163.96541	644.4484	 	 	 	 	 	 	 	 	 	 	 	 	 
212	164.6257	5.2621746	 	163.71013	645.9962	 	 	 	 	 	 	 	 	 	 	 	 	 
213	164.47824	5.146048	 	163.45346	644.80817	 	 	 	 	 	 	 	 	 	 	 	 	 
214	163.31932	5.3352275	 	163.28552	643.1977	 	 	 	 	 	 	 	 	 	 	 	 	 
215	184.52435	4.673207	 	162.94948	639.224	 	 	 	 	 	 	 	 	 	 	 	 	 
