Frame X1 Y1 Flag1 X2 Y2 Flag2 X3 Y3 Flag3 X4 Y4 Flag4 X5 Y5 Flag5 X6 Y6 Flag6 X7 Y7 Flag7 X8 Y8 Flag8
Tracks 1 to 8                     
386 210.95654 650.82666 301.68225 670.3818                    
387 211.16602 651.0478 301.47684 670.2361                    
388 211.59415 651.0372 301.62796 670.14453                    
389 211.94095 651.0443 301.29822 669.82733                    
390 212.21626 651 301.63107 670.31067                    
391 212.68701 651.28 301.42627 670.1129                    
392 213.05089 651.2427 301.57907 670.1                    
393 213.344 651.312 301.02942 670.9167                    
394 213.64201 651.14545 300.9861 670.5139                    
395 214.1109 651.2549 301.32553 669.5723                    
396 214.37819 651.2004                      
Track Length Distance traveled Nr of Frames                  
1 12.704824 5.537261 98                     
2 72.616104 1.382347 153                     
3 426.04172 93.8787 295                     
4 1218.183 605.0746 295                     
5 4.526997 0.15891287 11                     
6 6.645182 0.9121401 20                     
7 6.1944065 0.49610278 17                     
8 8.810073 0.92480224 17                     
