Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X14	Y14	Flag14	X15	Y15	Flag15
Tracks 1 to 15
61	139.21712	100.61532	 	311.13724	344.92197	 	1.3888888	547.0458	 	144.6467	14.414426	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
62	139.20125	107.53041	 	311.13657	344.6355	 	1.3760331	546.63556	 	144.39513	14.239024	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
63	139.14781	114.73175	 	311.1348	345.33997	 	1.3747941	546.6466	 	144.61302	14.151106	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
64	139.09962	122.427376	 	311.14355	344.0883	 	1.3868853	548.12134	 	144.68271	14.062963	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
65	139.0921	130.3421	 	311.14355	344.26816	 	1.393964	547.82465	 	144.68338	14.003668	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
66	139.07062	138.51506	 	311.14178	344.82684	 	1.3866996	546.2767	 	144.61633	14.024753	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
67	139.16667	147.02682	 	311.14178	344.04114	 	1.3912338	546.2711	 	144.38367	14.106436	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68	139.14453	155.9668	 	311.14108	345.09677	 	1.3968904	547.57526	 	144.10294	14.181373	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
69	139.10196	165.03922	 	311.14316	345.4707	 	1.3943089	546.16504	 	144.19586	14.3272505	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
70	139.09561	174.53784	 	311.14178	344.48376	 	1.3952537	546.5098	 	143.7971	14.388889	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
71	139.09677	184.44557	 	311.14178	344.4394	 	1.3915857	546.88995	 	143.2931	14.416256	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
72	139.1	194.55919	 	311.14426	344.4425	 	1.393617	547.2332	 	142.75188	14.669576	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
73	139.07741	205.03766	 	311.13794	345.222	 	1.3972268	546.7985	 	142.64598	15.010949	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
74	139.07024	215.66771	 	311.1397	344.4698	 	1.3912685	547.60706	 	142.44965	15.147482	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
75	139.10898	226.83546	 	311.13763	344.53333	 	1.3890702	546.854	 	141.79239	15.347666	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
76	139.10129	238.1056	 	311.1383	344.824	 	1.3870704	546.79297	 	141.61794	15.708845	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
77	139.05142	249.82167	 	311.1393	344.90714	 	1.4014778	547.2553	 	141.37741	15.913462	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78	139.04102	261.81485	 	311.14215	344.46756	 	1.3892508	547.2036	 	140.92015	16.119165	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
79	139.05405	274.2072	 	311.1397	344.45578	 	1.3923328	548.0041	 	140.44801	16.26485	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
80	139.08487	286.69724	 	311.139	345.06357	 	1.3910569	546.59106	 	140.2199	16.431204	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
81	139.09908	299.73962	 	311.13684	344.98706	 	1.4055375	547.8697	 	140.29904	16.655502	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
82	139.01306	312.99405	 	311.1397	345.22815	 	1.3868853	546.45575	 	140.50728	16.815535	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
83	139.06459	326.567	 	311.13684	345.33298	 	1.3910569	546.4691	 	140.21776	16.90876	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
84	139.07805	340.47073	 	311.14325	344.64703	 	1.3919804	547.5229	 	140.04208	17.039604	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
85	139.00618	354.6926	 	311.14008	344.486	 	1.3930308	546.25366	 	140.043	17.013514	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
86	139.11845	369.03366	 	311.14078	344.57983	 	1.3947369	546.9145	 	140.37746	17.080883	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
87	139.14142	383.90152	 	311.14078	343.92288	 	1.3905228	546.8219	 	140.28935	16.98426	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88	139.12724	398.95245	 	311.14285	344.40585	 	1.4003268	547.59644	 	140.22464	16.88889	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
89	139.06316	414.3158	 	311.14532	343.92734	 	1.3912338	546.1867	 	140.15036	16.707825	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
90	139.164	429.98	 	311.14355	344.19016	 	1.3947369	547.3717	 	139.9804	16.492647	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
91	139.16037	445.93665	 	311.13724	344.49246	 	1.3930922	547.3553	 	140.12035	16.370968	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
92	139.11995	462.15228	 	311.14224	344.1778	 	1.389439	546.9109	 	140.10687	16.347666	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
93	139.27718	478.69836	 	311.14294	344.47302	 	1.3968904	547.05646	 	140.48534	16.25061	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
94	139.14903	495.54456	 	311.14185	344.91638	 	1.3834155	546.78406	 	140.95833	16.154411	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
95	139.38792	512.6724	 	311.14285	344.77057	 	1.393964	546.83606	 	140.88199	15.947688	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
96	139.2948	530.04333	 	311.14285	344.73593	 	1.3965517	546.945	 	140.73285	15.884804	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
97	139.16862	547.6584	 	311.14325	343.51837	 	1.3957654	546.93646	 	140.56847	15.734719	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98	139.15015	565.6195	 	311.13724	344.49033	 	1.3830312	547.24133	 	140.75182	15.698547	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
99	139.375	583.8895	 	311.1394	344.56888	 	1.3909091	547.2091	 	140.52664	15.650121	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
100	139.51775	602.31067	 	311.13794	344.30496	 	1.3918033	546.4623	 	140.65254	15.693705	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
101	139.4768	621.0681	 	311.14362	345.0594	 	1.3986928	546.9363	 	140.51463	15.707317	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
102	139.45695	642.7554	 	311.1383	344.39236	 	1.3952537	546.5835	 	140.5	15.779126	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
103	139.51361	636.7279	 	311.1355	345.68604	 	1.3960396	547.38446	 	140.41463	15.787805	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
104	139.37456	629.5883	 	311.14185	344.98544	 	1.395082	547.83606	 	140.35889	15.765206	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
105	139.38051	622.44116	 	311.14117	344.722	 	1.3865478	546.8922	 	140.50734	15.949878	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
106	139.23636	616.1309	 	311.14462	343.56934	 	1.402439	547.6545	 	140.14197	15.971605	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
107	139.10435	610.1697	 	311.09732	343.08392	 	1.3578856	549.5867	 	139.86725	15.911911	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108	139.0864	604.49817	 	311.1237	344.7516	 	1.3779265	548.17224	 	139.92574	15.935643	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
109	139.11801	598.94324	 	311.1745	345.27518	 	1.4086614	544.374	 	140.02098	15.897531	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
110	139.10071	593.92426	 	 	 	 	1.4221374	541.6572	 	139.96288	15.898515	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
111	138.97964	589.30176	 	 	 	 	1.4063492	544.6524	 	140.1133	15.977833	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
112	138.81194	584.91174	 	 	 	 	1.3876033	547.3314	 	139.91422	16.007353	 	311.13696	344.33136	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
113	138.6875	580.7286	 	 	 	 	1.3857616	546.9553	 	140.04054	15.949632	 	311.131	345.2262	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
114	138.60759	576.8527	 	 	 	 	1.385621	546.42975	 	140.36441	15.899516	 	311.14108	344.6146	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
115	138.65881	573.15094	 	 	 	 	1.3754153	547.5249	 	140.43918	15.889295	 	311.13034	345.45728	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
116	138.42632	570.04913	 	 	 	 	1.3722317	548.8032	 	140.19324	15.859903	 	311.11105	344.06726	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
