Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7
Tracks 1 to 7
130	160.73592	492.0035	 	 	 	 	 	 	 	168.91422	8.791667	 	261.61392	680.1118	 	 	 	 	 	 	 
131	160.69615	489.4317	 	 	 	 	 	 	 	169.14706	8.70098	 	261.9933	680.5852	 	 	 	 	 	 	 
132	160.51917	487.223	 	 	 	 	 	 	 	169.03941	8.699508	 	260.48785	680.1923	 	 	 	 	 	 	 
133	160.35492	485.40155	 	 	 	 	 	 	 	168.97891	8.638958	 	262.1356	680.38983	 	 	 	 	 	 	 
134	160.2287	483.89304	 	 	 	 	 	 	 	169.02335	8.782556	 	260.62335	680.5352	 	 	 	 	 	 	 
135	160.16724	482.64923	 	 	 	 	 	 	 	168.89563	8.830097	 	265.01376	680.49084	 	 	 	 	 	 	 
136	159.99223	481.67963	 	 	 	 	 	 	 	168.89417	8.816301	 	260.7825	680.59863	 	 	 	 	 	 	 
137	159.89447	481.2249	 	 	 	 	 	 	 	168.89659	8.833333	 	263.23276	680.4655	 	 	 	 	 	 	 
138	159.5744	480.827	 	 	 	 	 	 	 	168.67874	8.871981	 	262.5182	680.57275	 	 	 	 	 	 	 
139	159.44655	480.79654	 	 	 	 	 	 	 	168.4665	8.933014	 	266.44272	679.9581	 	 	 	 	 	 	 
140	159.44655	481.07758	 	 	 	 	 	 	 	168.62201	8.892344	 	260.97195	680.72894	 	 	 	 	 	 	 
141	159.41327	481.64285	 	 	 	 	 	 	 	168.40244	8.8341465	 	257.10086	680.62445	 	 	 	 	 	 	 
142	159.19588	482.5464	 	 	 	 	 	 	 	168.35258	8.787469	 	262.63925	680.4241	 	 	 	 	 	 	 
143	159.03886	483.89206	 	 	 	 	 	 	 	168.06763	8.847826	 	262.47177	680.1411	 	 	 	 	 	 	 
144	158.91278	485.34283	 	 	 	 	 	 	 	168.31708	8.819512	 	261.5122	680.20734	 	 	 	 	 	 	 
145	158.8391	487.07266	 	 	 	 	 	 	 	168.4656	8.753071	 	258.08264	680.562	 	 	 	 	 	 	 
146	158.66434	489.2675	 	 	 	 	 	 	 	168.50494	8.739506	 	260.19708	680.5498	 	 	 	 	 	 	 
147	158.47899	491.88004	 	 	 	 	 	 	 	168.41646	8.762899	 	261.8052	680.21484	 	 	 	 	 	 	 
148	158.49298	494.66666	 	 	 	 	 	 	 	168.27696	8.7279415	 	260.1144	680.5763	 	 	 	 	 	 	 
149	158.1819	497.74078	 	 	 	 	 	 	 	168.38481	8.691176	 	259.15216	680.62177	 	 	 	 	 	 	 
150	158.11754	501.09824	 	 	 	 	 	 	 	168.4064	8.605911	 	260.89368	680.6493	 	 	 	 	 	 	 
151	157.92322	504.91785	 	 	 	 	 	 	 	168.34767	8.669533	 	261.54187	680.6628	 	 	 	 	 	 	 
152	157.70499	508.96524	 	 	 	 	 	 	 	168.16504	8.680929	 	263.07074	680.6085	 	 	 	 	 	 	 
153	157.58289	513.264	 	 	 	 	 	 	 	168.08911	8.64604	 	264.25	680.50464	 	 	 	 	 	 	 
154	157.37885	517.9177	 	 	 	 	 	 	 	168.00374	8.584788	 	263.9956	680.4561	 	 	 	 	 	 	 
155	157.29385	522.8056	 	 	 	 	 	 	 	168.13342	8.564837	 	263.70355	680.4602	 	 	 	 	 	 	 
156	157.12454	528.0659	 	 	 	 	 	 	 	168.14178	8.562189	 	260.9979	680.3661	 	 	 	 	 	 	 
157	157.03717	533.5316	 	 	 	 	 	 	 	168.0396	8.584158	 	261.64468	680.46594	 	 	 	 	 	 	 
158	156.86246	539.4684	 	 	 	 	 	 	 	168.23383	8.539801	 	260.78925	680.48346	 	 	 	 	 	 	 
159	156.71121	545.5056	 	 	 	 	 	 	 	168.24753	8.534654	 	258.7204	680.5898	 	 	 	 	 	 	 
160	156.55472	552.0868	 	 	 	 	 	 	 	168.27641	8.497543	 	259.02124	680.2336	 	 	 	 	 	 	 
161	156.38425	558.84155	 	 	 	 	 	 	 	168.43564	8.482674	 	258.45258	680.47235	 	 	 	 	 	 	 
162	156.22762	566.07904	 	 	 	 	 	 	 	168.52493	8.48005	 	260.2102	680.19385	 	 	 	 	 	 	 
163	156.07005	573.3234	 	 	 	 	 	 	 	168.47755	8.465087	 	257.99387	680.5776	 	 	 	 	 	 	 
164	155.8526	581.02795	 	 	 	 	 	 	 	168.50494	8.369136	 	256.5851	680.7	 	 	 	 	 	 	 
165	155.6029	589.0864	 	 	 	 	 	 	 	168.38019	8.297066	 	256.55832	680.6625	 	 	 	 	 	 	 
166	155.34055	597.6083	 	 	 	 	 	 	 	168.37593	8.266749	 	258.2642	680.5393	 	 	 	 	 	 	 
167	155.3856	606.1233	 	 	 	 	 	 	 	168.4598	8.185929	 	261.49576	680.25	 	 	 	 	 	 	 
168	155.12746	615.1627	 	 	 	 	 	 	 	168.28787	8.199495	 	262.25342	680.5594	 	 	 	 	 	 	 
169	154.98877	625.07306	 	 	 	 	 	 	 	168.45454	8.080808	 	262.2414	680.2155	 	 	 	 	 	 	 
170	154.77246	638.00287	 	 	 	 	 	 	 	168.53836	8.047315	 	262.79245	680.6132	 	 	 	 	 	 	 
171	154.66577	640.18195	 	 	 	 	 	 	 	168.66495	7.902062	 	254.8149	680.68726	 	 	 	 	 	 	 
172	154.26213	632.9919	 	 	 	 	 	 	 	168.83507	7.897403	 	260.7009	680.5714	 	 	 	 	 	 	 
173	154.0221	628.482	 	 	 	 	 	 	 	168.56976	7.869509	 	262.29907	680.58673	 	 	 	 	 	 	 
174	153.73193	624.20087	 	 	 	 	 	 	 	168.84737	7.8157897	 	252.98718	680.7778	 	 	 	 	 	 	 
175	153.54639	620.04297	 	 	 	 	 	 	 	168.86482	7.796588	 	259.28262	680.2115	 	 	 	 	 	 	 
176	153.21306	616.47595	 	 	 	 	 	 	 	168.67278	7.709424	 	256.5	680.68567	 	 	 	 	 	 	 
177	152.92712	613.27795	 	 	 	 	 	 	 	168.88643	7.6305485	 	256.11053	680.11053	 	 	 	 	 	 	 
178	152.79231	610.46924	 	 	 	 	 	 	 	169.02094	7.6361256	 	251.5672	680.7372	 	 	 	 	 	 	 
179	152.387	607.9332	 	 	 	 	 	 	 	168.96053	7.639474	 	253.4098	680.598	 	 	 	 	 	 	 
180	152.04054	605.74493	 	 	 	 	 	 	 	168.88583	7.6627297	 	260.8114	680.5702	 	 	 	 	 	 	 
181	151.69624	603.85834	 	 	 	 	 	 	 	168.82376	7.651436	 	258.94156	680.56494	 	 	 	 	 	 	 
